language,aliases,extensions
2-Dimensional Array,,.2da
ABNF,,.abnf
Adblock Filter List,ad block filters; ad block; adb; adblock,.txt
Adobe Font Metrics,acfm; adobe composite font metrics; adobe multiple font metrics; amfm,.afm
Altium Designer,altium,.OutJob; .PcbDoc; .PrjPCB; .SchDoc
Ant Build System,,
ApacheConf,aconf; apache,.apacheconf; .vhost
ASN.1,,.asn; .asn1
Avro IDL,,.avdl
Browserslist,,
BuildStream,,.bst
C-ObjDump,,.c-objdump
Cabal Config,Cabal,.cabal
Caddyfile,Caddy,.caddyfile
Checksums,checksum; hash; hashes; sum; sums,.crc32; .md2; .md4; .md5; .sha1; .sha2; .sha224; .sha256; .sha256sum; .sha3; .sha384; .sha512
CIL,,.cil
Cloud Firestore Security Rules,,
CODEOWNERS,,
COLLADA,,.dae
CoNLL-U,CoNLL; CoNLL-X,.conllu; .conll
Cpp-ObjDump,c++-objdump,.cppobjdump; .c++-objdump; .c++objdump; .cpp-objdump; .cxx-objdump
crontab,cron; cron table,
CSON,,.cson
CSV,,.csv
Cue Sheet,,.cue
cURL Config,curlrc,
Cylc,,.cylc
D-ObjDump,,.d-objdump
Darcs Patch,dpatch,.darcspatch; .dpatch
Debian Package Control File,,.dsc
desktop,,.desktop; .desktop.in; .service
Diff,udiff,.diff; .patch
dircolors,,.dircolors
DirectX 3D File,,.x
DNS Zone,,.zone; .arpa
Dotenv,,.env
E-mail,email; eml; mail; mbox,.eml; .mbox
Eagle,,.sch; .brd
Easybuild,,.eb
EBNF,,.ebnf
Ecere Projects,,.epj
EditorConfig,editor-config,.editorconfig
Edje Data Collection,,.edc
edn,,.edn
FIGlet Font,FIGfont,.flf
FlatBuffers,,.fbs
Formatted,,.for; .eam.fs
GEDCOM,,.ged
Gemfile.lock,,
Gerber Image,rs-274x,.gbr; .cmp; .gbl; .gbo; .gbp; .gbs; .gko; .gml; .gpb; .gpt; .gtl; .gto; .gtp; .gts; .ncl; .sol
Git Attributes,gitattributes,
Git Commit,commit,
Git Config,gitconfig; gitmodules,.gitconfig
Git Revision List,Git Blame Ignore Revs,
Glyph Bitmap Distribution Format,,.bdf
GN,,.gn; .gni
Go Checksums,go.sum; go sum; go.work.sum; go work sum,
Go Module,go.mod; go mod,
Go Workspace,go.work; go work,
Godot Resource,,.gdnlib; .gdns; .tres; .tscn
Gradle,,.gradle
Gradle Kotlin DSL,,.gradle.kts
Graph Modeling Language,,.gml
GraphQL,,.graphql; .gql; .graphqls
Graphviz (DOT),,.dot; .gv
HAProxy,,.cfg
HOCON,,.hocon
Hosts File,hosts,
HTTP,,.http
HXML,,.hxml
iCalendar,iCal,.ics; .ical
Ignore List,ignore; gitignore; git-ignore,.gitignore
INI,dosini,.ini; .cfg; .cnf; .dof; .frm; .lektorproject; .prefs; .pro; .properties; .url
IRC log,irc; irc logs,.irclog; .weechatlog
JAR Manifest,,
Java Properties,,.properties
Jest Snapshot,,.snap
JSON,geojson; jsonl; sarif; topojson,.json; .4DForm; .4DProject; .avsc; .geojson; .gltf; .har; .ice; .JSON-tmLanguage; .json.example; .jsonl; .mcmeta; .sarif; .tact; .tfstate; .tfstate.backup; .topojson; .webapp; .webmanifest; .yy; .yyp
JSON with Comments,jsonc,.jsonc; .code-snippets; .code-workspace; .sublime-build; .sublime-color-scheme; .sublime-commands; .sublime-completions; .sublime-keymap; .sublime-macro; .sublime-menu; .sublime-mousemap; .sublime-project; .sublime-settings; .sublime-theme; .sublime-workspace; .sublime_metrics; .sublime_session; .tsconfig.json
JSON5,,.json5
JSONLD,,.jsonld
KDL,,.kdl
KiCad Layout,pcbnew,.kicad_pcb; .kicad_mod; .kicad_wks
KiCad Legacy Layout,,.brd
KiCad Schematic,eeschema schematic,.kicad_sch; .kicad_sym; .sch
Kickstart,,.ks
Kusto,,.csl; .kql
Lark,,.lark
Linux Kernel Module,,.mod
LTspice Symbol,,.asy
M3U,hls playlist; m3u playlist,.m3u; .m3u8
Maven POM,,
Microsoft Developer Studio Project,,.dsp
Microsoft Visual Studio Solution,,.sln
MiniYAML,,.yaml; .yml
MiniZinc Data,,.dzn
nanorc,,.nanorc
NEON,nette object notation; ne-on,.neon
Nginx,nginx configuration file,.nginx; .nginxconf; .vhost
Ninja,,.ninja
NL,,.nl
NPM Config,npmrc,
OASv2-json,,.json
OASv2-yaml,,.yaml; .yml
OASv3-json,,.json
OASv3-yaml,,.yaml; .yml
ObjDump,,.objdump
Object Data Instance Notation,,.odin
OpenAPI Specification v2,oasv2,
OpenAPI Specification v3,oasv3,
OpenStep Property List,,.plist; .glyphs
OpenType Feature File,AFDKO,.fea
Option List,opts; ackrc,
Pickle,,.pkl
Pip Requirements,,
PlantUML,,.puml; .iuml; .plantuml
Prisma,,.prisma
Proguard,,.pro
Protocol Buffer,proto; protobuf; Protocol Buffers,.proto
Protocol Buffer Text Format,text proto; protobuf text format,.textproto; .pbt; .pbtxt; .txtpb
Public Key,,.asc; .pub
Pure Data,,.pd
Python traceback,,.pytb
Raw token data,raw,.raw
RBS,,.rbs
Readline Config,inputrc; readline,
Record Jar,,
Redirect Rules,redirects,
Regular Expression,regexp; regex,.regexp; .regex
robots.txt,robots; robots txt,
RON,,.ron
ROS Interface,rosmsg,.msg; .action; .srv
RPM Spec,specfile,.spec
SELinux Policy,SELinux Kernel Policy Language; sepolicy,.te
ShellCheck Config,shellcheckrc,
Simple File Verification,sfv,.sfv
Soong,,
SPARQL,,.sparql; .rq
Spline Font Database,,.sfd
SQL,,.sql; .ddl; .inc; .mysql; .prc; .tab; .udf; .viw
SSH Config,sshconfig; sshdconfig; ssh_config; sshd_config,
STAR,,.star
STL,ascii stl; stla,.stl
STON,,.ston
SubRip Text,,.srt
Survex data,,.svx
SVG,,.svg
TextGrid,,.TextGrid
TextMate Properties,tm-properties,
TMDL,Tabular Model Definition Language,.tmdl
TOML,,.toml; .toml.example
Tor Config,torrc,
TSPLIB data,travelling salesman problem; traveling salesman problem,.tsp
TSV,tab-seperated values,.tsv; .vcf
Turtle,,.ttl
Type Language,tl,.tl
Unity3D Asset,,.anim; .asset; .mask; .mat; .meta; .prefab; .unity
Valve Data Format,keyvalues; vdf,.vdf
vCard,virtual contact file; electronic business card,.vcf
Wavefront Material,,.mtl
Wavefront Object,,.obj
Web Ontology Language,,.owl
WebAssembly Interface Type,wit,.wit
WebVTT,vtt,.vtt
Wget Config,wgetrc,
Win32 Message File,,.mc
Windows Registry Entries,,.reg
World of Warcraft Addon Data,,.toc
X BitMap,xbm,.xbm
X Font Directory Index,,
X PixMap,xpm,.xpm; .pm
XCompose,,
XML,rss; xsd; wsdl,.xml; .adml; .admx; .ant; .axaml; .axml; .builds; .ccproj; .ccxml; .clixml; .cproject; .cscfg; .csdef; .csl; .csproj; .ct; .depproj; .dita; .ditamap; .ditaval; .dll.config; .dotsettings; .filters; .fsproj; .fxml; .glade; .gml; .gmx; .gpx; .grxml; .gst; .hzp; .icls; .iml; .ivy; .jelly; .jsproj; .kml; .launch; .mdpolicy; .mjml; .mm; .mod; .mojo; .mxml; .natvis; .ncl; .ndproj; .nproj; .nuspec; .odd; .osm; .pkgproj; .pluginspec; .proj; .props; .ps1xml; .psc1; .pt; .pubxml; .qhelp; .rdf; .res; .resx; .rs; .rss; .sch; .scxml; .sfproj; .shproj; .slnx; .srdf; .storyboard; .sublime-snippet; .sw; .targets; .tml; .ts; .tsx; .typ; .ui; .urdf; .ux; .vbproj; .vcxproj; .vsixmanifest; .vssettings; .vstemplate; .vxml; .wixproj; .workflow; .wsdl; .wsf; .wxi; .wxl; .wxs; .x3d; .xacro; .xaml; .xib; .xlf; .xliff; .xmi; .xml.dist; .xmp; .xproj; .xsd; .xspec; .xul; .zcml
XML Property List,,.plist; .stTheme; .tmCommand; .tmLanguage; .tmPreferences; .tmSnippet; .tmTheme
XPages,,.xsp-config; .xsp.metadata
YAML,yml,.yml; .mir; .reek; .rviz; .sublime-syntax; .syntax; .yaml; .yaml-tmlanguage; .yaml.sed; .yml.mysql
YANG,,.yang
Zmodel,,.zmodel
